cedula,mesa_asignada,nombre
1001987654,MESA01,Ana María González López
1002456789,MESA01,Pedro Luis Mendoza Silva
1003345678,MESA01,Carmen Elena Rojas Pérez
1004234567,MESA01,José Antonio Díaz Torres
1005123456,MESA01,Lucía Fernanda Vargas Morales
1006987654,MESA02,Felipe Andrés Castro Ruiz
1007876543,MESA02,Gabriela Isabel Suárez Martínez
1008765432,MESA02,Ricardo Javier Ortega Ramírez
1009654321,MESA02,Natalia Alejandra Ríos Flores
1010543210,MESA02,Eduardo Daniel Paredes Soto
1011432109,MESA03,Patricia Camila Jiménez Herrera
1012321098,MESA03,Fernando Alberto Vega Torres
1013210987,MESA03,Valeria Cristina Molina Reyes
1014109876,MESA03,Santiago Sebastián Núñez Campos
1015098765,MESA03,Daniela Paola Moreno Castro
