cedula,mesa_asignada,nombre
1000000001,1,Carmen Rodríguez
1000000002,1,Juan Carlos Martínez
1000000003,1,Ana María López
1000000004,1,Pedro Gómez
1000000005,1,Laura Sánchez
1000000006,1,Miguel Hernández
1000000007,1,Sofía Díaz
1000000008,1,David Ramírez
1000000009,1,Valentina Torres
1000000010,1,Carlos Mendoza
1000000011,1,Isabella Vargas
1000000012,1,Santiago Rojas
1000000013,1,Camila Morales
1000000014,1,Mateo Ortiz
1000000015,1,Luciana Castro
1000000016,1,Daniel Ríos
1000000017,1,Mariana Flores
1000000018,1,Alejandro Navarro
1000000019,1,Victoria Reyes
1000000020,1,Gabriel Cruz
1000000021,1,Emma Acosta
1000000022,1,Sebastián Peña
1000000023,1,Valeria Medina
1000000024,1,Nicolás Ramos
1000000025,1,Sara Jiménez
1000000026,1,Samuel Aguilar
1000000027,1,Antonia Vega
1000000028,1,Emilio Gutiérrez
1000000029,1,Renata Romero
1000000030,1,Benjamín Herrera
1000000031,1,Daniela Campos
1000000032,1,Leonardo Parra
1000000033,1,Catalina Fuentes
1000000034,1,Joaquín Miranda
1000000035,1,Amanda Zamora
1000000036,1,Emiliano Cordero
1000000037,1,Regina Cáceres
1000000038,1,Máximo Lara
1000000039,1,Julieta Arias
1000000040,1,Felipe Soto
1000000041,1,Antonella Molina
1000000042,1,Bruno Cabrera
1000000043,1,Martina Delgado
1000000044,1,Ignacio Bustos
1000000045,1,Constanza Escobar
1000000046,1,Dante Figueroa
1000000047,1,Helena Pacheco
1000000048,1,Vicente Godoy
1000000049,1,Isidora Tapia
1000000050,1,Facundo Núñez
